FN	ILE 	LEU 	LYS	MET 	CYS 	AAS	PHE	TYR	AAA 	THR 	TRP 	VAL	HIS 	ARG	ALA 	ASP	GLU 	GLY	PRO	SER	HYP 	AAT	AMMON	AMMONE	NoticeAA
01001	(550)	(820)	(700)	(210)	(180)	(390)	(510)	(310)	(820)	(520)	(170)	(640)	(360)	(990)	(750)	(1200)	(2100)	(1500)	(650)	(1100)	(0)	(13000)	-	-	米国成分表より推計
01002	480	1500	220	380	220	600	630	360	990	470	210	600	270	360	1000	800	2400	300	990	630	-	12000	340	-	うるち、もちを含む<br>歩留り： 70～80 %
01003	(210)	(600)	(130)	(160)	(110)	(260)	(280)	(170)	(460)	(190)	(88)	(280)	(130)	(250)	(410)	(410)	(1000)	(170)	(380)	(260)	-	(5300)	-	-	原材料配合割合： もちあわ50、もち米50<br>01002あわ、01151もち米から推計
01004	590	1100	620	270	500	770	760	490	1300	500	200	800	350	910	670	1200	3000	750	810	700	-	14000	380	-	別名： オート、オーツ
01005	(410)	(830)	(390)	(190)	(300)	(490)	(610)	(370)	(980)	(430)	(160)	(580)	(260)	(510)	(430)	(640)	(2800)	(440)	(1400)	(540)	-	(11000)	(340)	-	歩留り： 玄皮麦60～65 %、玄裸麦65～70 %<br>01006押麦から推計
01006	250	500	240	120	180	300	370	230	600	260	97	350	160	310	260	390	1700	270	820	330	-	6900	210	-	歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
01170	86	170	81	40	55	95	130	80	210	89	33	120	55	110	88	130	590	91	280	110	-	2300	70	-	乾35 g相当量を含む
01007	(270)	(530)	(250)	(120)	(190)	(320)	(390)	(240)	(630)	(280)	(100)	(370)	(170)	(330)	(270)	(410)	(1800)	(280)	(870)	(350)	-	(7200)	(220)	-	別名： 切断麦<br>白麦を含む<br>歩留り： 玄皮麦40～50 %、玄裸麦50～60 %<br>01006押麦から推計
01008	(480)	(950)	(360)	(230)	(340)	(570)	(690)	(420)	(1100)	(440)	(170)	(620)	(310)	(560)	(450)	(630)	(4100)	(510)	(1600)	(690)	-	(14000)	(480)	-	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦、01019小麦粉/中力粉/２等から推計
01009	(180)	(350)	(130)	(84)	(130)	(210)	(260)	(160)	(410)	(170)	(62)	(230)	(120)	(210)	(170)	(240)	(1500)	(190)	(590)	(260)	-	(5000)	(180)	-	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦、01019小麦粉/中力粉/２等から推計
01010	(480)	(950)	(450)	(220)	(340)	(560)	(700)	(430)	(1100)	(490)	(180)	(660)	(300)	(580)	(490)	(730)	(3300)	(510)	(1500)	(620)	-	(13000)	(390)	-	別名： こうせん、はったい粉<br>01006押麦から推計
01167	480	810	720	260	210	470	510	380	880	500	170	590	380	1100	550	1100	1800	690	470	610	-	11000	210	-	
01011	470	1400	160	360	200	560	640	430	1100	380	150	570	260	350	1200	680	2500	250	810	790	-	12000	340	-	うるち、もちを含む<br>歩留り： 70～80 %
01012	390	760	320	180	270	450	530	330	860	360	160	510	290	550	410	570	3300	460	1100	590	-	11000	380	-	
01015	320	610	190	150	240	390	450	270	710	260	110	380	200	320	260	370	3000	310	1000	470	-	9000	350	-	
01016	340	650	220	160	240	400	480	280	760	280	110	410	220	370	290	420	3300	350	1100	490	-	9700	380	-	
01018	340	650	190	160	240	400	470	290	760	280	110	400	210	340	270	380	3300	350	1100	500	-	9600	390	-	
01019	360	700	220	170	250	420	500	310	810	300	110	430	230	400	300	410	3500	380	1200	550	-	10000	400	-	
01020	440	850	240	200	300	500	650	370	1000	350	140	520	280	430	350	490	4500	440	1600	640	-	13000	540	-	
01021	480	920	260	210	310	530	690	410	1100	390	150	560	300	480	380	520	4800	480	1700	730	-	14000	570	-	
01023	(430)	(870)	(350)	(220)	(270)	(490)	(660)	(270)	(930)	(360)	(170)	(550)	(350)	(630)	(470)	(700)	(4200)	(550)	(2000)	(600)	(0)	(14000)	-	-	米国成分表より推計
01146	360	680	230	140	210	350	480	300	790	300	110	420	240	390	300	440	3800	360	1100	500	-	10000	370	-	
01024	(320)	(610)	(260)	(160)	(200)	(360)	(410)	(270)	(690)	(270)	(100)	(390)	(190)	(320)	(280)	(430)	(2500)	(280)	(880)	(460)	(0)	(8300)	(270)	-	原材料配合割合から推計
01147	340	650	300	120	180	290	430	260	690	310	92	410	190	420	350	600	4400	330	800	470	-	11000	310	-	
01025	350	660	210	160	240	400	480	270	750	280	110	420	220	350	280	420	3200	320	1100	480	-	9500	360	-	
01171	(130)	(240)	(78)	(57)	(88)	(140)	(170)	(98)	(270)	(95)	(39)	(150)	(80)	(130)	(100)	(150)	(1200)	(120)	(400)	(160)	-	(3400)	-	-	天ぷら粉39、水61<br>01025プレミックス粉/天ぷら用から推計
