FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
01001	4.75	1.18	1.48	2.10	0.04	2.06	-	-	-	-	0	0	-	9	3	-	940	-	5	-	150	36	16	15	0	0	0	7	3	1500	-	-	12	2	0	0	0	0	2000	36	14	0	0	-	0	0	0	0	0	0	0	0	0	0	-			
01002	3.94	0.67	0.52	2.75	0.12	2.63	-	-	-	-	0	0	-	2	4	-	410	-	5	-	160	51	25	10	0	0	0	3	0	500	480	18	19	0	0	0	0	0	2600	120	0	0	3	-	4	0	0	0	0	0	0	0	0	0	-	うるち、もちを含む<br>歩留り： 70～80 %		
01003	(1.14)	(0.22)	(0.19)	(0.73)	(0.03)	(0.70)	-	-	-	-	(0)	(0)	-	(3)	(1)	-	(150)	-	(1)	-	(42)	(13)	(6)	(4)	(0)	(0)	(0)	(1)	(0)	(180)	-	-	(5)	(Tr)	(0)	(0)	(0)	(0)	(700)	(31)	(0)	(0)	(1)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合： もちあわ50、もち米50<br>原材料配合割合から推計		
01004	(4.90)	(1.01)	(1.80)	(2.09)	(0.09)	(2.00)	-	-	-	-	-	(20)	-	(12)	-	-	(850)	-	-	-	(54)	-	-	-	-	-	-	(11)	-	(1800)	-	-	-	-	-	-	-	-	(2000)	(92)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	別名： オート、オーツ<br>米国成分表から推計		
01005	1.69	0.58	0.20	0.91	0.05	0.86	-	-	-	-	0	1	-	8	1	-	530	-	2	-	25	2	7	1	-	0	-	1	0	170	-	-	10	17	0	-	-	-	860	54	-	-	Tr	-	-	-	-	-	-	-	-	-	-	-	4	歩留り： 玄皮麦60～65 %、玄裸麦65～70 %		
01006	1.18	0.43	0.13	0.62	0.03	0.59	-	-	-	-	0	Tr	-	6	1	-	390	-	1	-	22	2	2	3	0	0	0	1	0	110	99	7	6	11	2	0	0	0	590	33	0	0	1	-	0	0	0	0	0	0	0	0	0	0	54	歩留り： 玄皮麦45～55 %、玄裸麦55～65 %		
01170	0.38	0.14	0.04	0.20	0.01	0.19	-	-	-	-	0	0	-	2	Tr	-	130	-	Tr	-	8	1	1	1	0	0	0	Tr	0	33	31	2	2	4	Tr	0	0	0	190	10	0	0	Tr	-	0	0	0	0	0	0	0	0	0	0	18	乾35 g相当量を含む		
01007	(1.69)	(0.58)	(0.20)	(0.91)	(0.05)	(0.86)	-	-	-	-	(0)	(1)	-	(8)	(1)	-	(530)	-	(2)	-	(25)	(2)	(7)	(1)	-	(0)	-	(1)	(0)	(170)	-	-	(10)	(17)	(0)	-	-	-	(860)	(54)	-	-	(Tr)	(0)	-	-	-	-	-	-	-	-	-	-	(4)	別名： 切断麦<br>白麦を含む<br>歩留り： 玄皮麦40～50 %、玄裸麦50～60 %<br>01005七分つき押麦から推計		
01008	(1.35)	(0.43)	(0.15)	(0.78)	(0.04)	(0.74)	(0)	(0)	(0)	(0)	(0)	(Tr)	(0)	(4)	(1)	(0)	(400)	(0)	(2)	(0)	(20)	(2)	(1)	(1)	(0)	(0)	(0)	(1)	(Tr)	(130)	(51)	(4)	(6)	(6)	(1)	(0)	(0)	(0)	(740)	(41)	(0)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(28)	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦及び01019中力粉2等から推計		
01009	(0.48)	(0.15)	(0.05)	(0.27)	(0.01)	(0.26)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(2)	(1)	(0)	(140)	(0)	(1)	(0)	(7)	(1)	(Tr)	(1)	(0)	(0)	(0)	(Tr)	(0)	(47)	(18)	(1)	(2)	(2)	(Tr)	(0)	(0)	(0)	(260)	(14)	(0)	(0)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(10)	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦及び01019中力粉2等から推計		
