FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
01001	1.1	6.3	7.4	-	-	-	-	-					
01002	0.4	2.9	3.3	-	-	-	-	-					
01003	0	1.5	1.5	-	-	-	-	-					
01004	3.2	6.2	9.4	-	-	-	-	-					
01005	6.3	4.0	10.3	-	-	-	-	-					
01006	4.3	3.6	7.9	2.4	4.3	5.5	0.4	12.2					
01170	-	-	-	0.6	1.5	2.1	0.5	4.2					
01007	6.0	2.7	8.7	-	-	-	-	-					
01008	3.6	2.7	6.3	-	-	-	-	-					
01009	1.2	1.3	2.5	-	-	-	-	-					
01010	5.2	10.3	15.5	-	-	-	-	-					
01167	1.5	4.7	6.2	-	-	-	-	-					
01011	Tr	1.6	1.6	-	-	-	-	-					
01012	0.5	10.0	10.5	3.3	1.8	8.9	0.4	14.0					
01013	1.4	9.8	11.2	-	-	-	-	-					
01014	1.5	9.9	11.4	-	-	-	-	-					
01015	1.2	1.3	2.5	-	-	-	-	-					
01016	1.1	1.5	2.6	-	-	-	-	-					
01018	1.2	1.6	2.8	-	-	-	-	-					
01019	0.9	1.2	2.1	-	-	-	-	-					
01020	1.2	1.5	2.7	-	-	-	-	-					
01021	0.9	1.2	2.1	-	-	-	-	-					
01023	1.5	9.7	11.2	-	-	-	-	-					
01146	1.7	1.1	2.8	-	-	-	-	-					
01024	0.9	1.0	1.8	-	-	-	-	-					
01147	1.4	1.2	2.6	-	-	-	-	-					
01025	1.5	1.0	2.5	-	-	-	-	-					
01171	0.6	0.4	1.0	0.7	0.7	0.5	0.3	1.9					
01172	-	-	-	1.5	0.6	1.2	0.3	3.3					
01026	0.4	1.9	2.2	1.0	0.9	2.3	1.1	4.2					
01174	-	-	-	1.2	0.9	2.5	1.4	4.6					
01175	-	-	-	0.9	0.9	2.0	1.2	3.8					
01176	-	-	-	(1.1)	(0.9)	(2.7)	(0.9)	(4.7)					
01206	(0.8)	(1.2)	(2.0)	-	-	-	-	-					
01207	(0.7)	(1.0)	(1.7)	-	-	-	-	-					
01205	(0.8)	(1.1)	(1.8)	-	-	-	-	-					
01028	1.1	1.1	2.2	1.6	1.3	1.0	0.6	3.9					
01213	-	-	-	1.3	1.2	1.8	0.5	4.2					
01030	1.8	1.3	3.1	-	-	-	-	-					
01031	1.2	1.5	2.7	-	-	-	-	-					
01032	2.0	3.6	5.6	-	-	-	-	-					
01208	0.9	3.6	4.5	-	-	-	-	-					
01033	0.9	1.3	2.2	-	-	-	-	-					
01034	1.0	1.0	2.0	-	-	-	-	-					
01209	(0.7)	(1.2)	(1.9)	-	-	-	-	-					
01035	0.9	0.9	1.8	-	-	-	-	-					
01210	(0.6)	(1.7)	(2.4)	-	-	-	-	-					
01036	0.2	1.0	1.2	-	-	-	-	-					
01037	0.8	1.2	2.0	-	-	-	-	-					
01148	1.2	1.3	2.5	-	-	-	-	-					
01038	-	-	-	1.7	1.1	0.8	0.3	3.6					
01039	-	-	-	0.6	0.4	0.3	0.1	1.3					
01186	0.5	0.8	1.3	1.9	1.3	0.9	0.4	4.1					
01041	0.6	1.8	2.4	-	-	-	-	-					
01042	0.3	0.4	0.7	-	-	-	-	-					
01043	0.7	1.8	2.5	-	-	-	-	-					
01044	0.3	0.6	0.9	-	-	-	-	-					
01045	1.2	0.6	1.8	-	-	-	-	-					
01046	0.5	0.5	1.0	-	-	-	-	-					
01047	-	-	-	2.8	1.6	1.0	0.4	5.4					
01048	-	-	-	1.5	0.9	0.5	0.2	2.8					
01187	0.8	1.6	2.4	3.2	1.9	1.1	0.5	6.2					
01049	0.7	1.1	1.7	1.1	0.7	1.3	0.8	3.1					
01188	-	-	-	1.3	0.8	1.5	0.8	3.6					
01050	1.6	1.3	2.9	2.6	1.9	1.4	0.3	6.0					
01051	0.7	0.9	1.6	1.0	0.6	1.0	0.5	2.6					
01052	1.3	0.8	2.1	-	-	-	-	-					
01053	0.8	0.7	1.5	-	-	-	-	-					
01054	1.3	0.8	2.1	-	-	-	-	-					
01055	0.6	0.9	1.5	-	-	-	-	-					
01056	1.6	0.9	2.5	-	-	-	-	-					
01057	1.4	1.0	2.4	-	-	-	-	-					
01198	(0.3)	(0.2)	(0.5)	-	-	-	-	-	01057即席中華めん、油揚げ、乾より推計				
01189	-	-	-	0.9	0.7	1.1	0.5	2.6					
01144	-	-	-	2.0	1.6	1.9	0.9	5.5					
01058	1.4	0.9	2.3	-	-	-	-	-					
01199	(0.3)	(0.3)	(0.6)	-	-	-	-	-	01058即席中華めん、非油揚げ、乾より推計				
01190	-	-	-	1.0	0.5	1.2	0.6	2.7					
01145	-	-	-	2.6	1.8	2.1	0.8	6.5					
01193	-	-	-	3.0	1.3	1.6	0.5	5.8					
01201	-	-	-	(0.7)	(0.3)	(0.4)	(0.1)	(1.3)	01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計				
01194	-	-	-	0.8	0.6	0.8	0.4	2.2					
01191	-	-	-	3.1	1.5	1.5	0.5	6.1					
01200	-	-	-	(0.7)	(0.4)	(0.4)	(0.1)	(1.4)	01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計				
01192	-	-	-	0.8	0.5	0.7	0.3	1.9					
01060	1.1	1.1	2.2	2.4	1.4	1.9	0.4	5.7					
01202	-	-	-	(1.4)	(0.8)	(1.1)	(0.2)	(3.3)	01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計				
01061	1.6	1.1	2.7	2.2	2.2	2.0	0.5	6.4					
01203	-	-	-	(0.5)	(0.5)	(0.5)	(0.1)	(1.5)	01061中華スタイル即席カップめん、非油揚げ、乾より推計				
01195	-	-	-	0.6	0.5	1.3	0.4	2.5					
01062	1.3	0.6	1.9	2.6	2.0	1.4	0.4	6.0					
01204	-	-	-	(0.6)	(0.5)	(0.3)	(0.1)	(1.4)	01062和風スタイル即席カップめん、油揚げ、乾より推計				
01196	-	-	-	0.9	0.7	0.9	0.4	2.4					
01063	1.4	1.6	3.0	1.6	1.9	2.0	0.2	5.4					
01064	0.5	1.2	1.7	0.6	0.8	1.7	0.4	3.0					
01173	(0.5)	(1.2)	(1.6)	(0.5)	(0.7)	(1.6)	(0.4)	(2.9)	原材料配合割合から推計				
01149	0.8	0.7	1.5	-	-	-	-	-					
01065	0.2	0.3	0.5	-	-	-	-	-					
