FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
01024	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(Tr)	原材料配合割合から推計
01028	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(Tr)	原材料配合割合から推計
01030	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(Tr)	原材料配合割合から推計
02068	-	-	0	-	-	0.1	-	0	-	0	-	-	0.3	-	-	-	-	-	-	-	-	-	0.4	
02069	-	-	-	-	-	0.1	-	-	-	-	-	-	0.3	-	-	-	-	-	-	-	-	-	0.4	
02001	-	-	-	-	-	-	-	-	-	(0.5)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.5)	豪州成分表から推計
02041	-	-	-	-	-	-	-	-	-	(0.3)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.4)	豪州成分表から推計
02045	-	-	-	-	-	0.1	-	0	-	0.2	-	-	Tr	-	-	-	-	-	0.1	-	-	-	0.4	
02046	-	-	-	-	-	0.1	-	0	-	0.2	-	-	Tr	-	-	-	-	-	0.1	-	-	-	0.5	
02047	-	-	-	-	-	0.1	-	0	-	0.2	-	-	Tr	-	-	-	-	-	0.1	-	-	-	0.5	
02006	-	-	-	-	-	0.1	-	0	-	0.2	-	-	Tr	-	-	-	-	-	0.1	-	-	-	0.4	
02008	-	-	-	-	-	0.1	-	0	-	0.2	-	-	0.1	-	-	-	-	-	0.1	-	-	-	0.4	
02009	-	-	-	-	-	0.1	-	0	-	0.3	-	-	0.1	-	-	-	-	-	0.2	-	-	-	0.7	
02048	-	-	-	-	-	0.1	-	0	-	0.2	-	-	Tr	-	-	-	-	-	0.1	-	-	-	0.4	
02049	-	-	-	-	-	0.1	-	0	-	0.2	-	-	0.1	-	-	-	-	-	0.2	-	-	-	0.5	
02010	-	-	-	-	-	0.1	-	-	-	0.5	-	-	Tr	-	-	-	-	-	-	-	-	-	0.6	
02012	-	-	-	-	-	Tr	-	0	-	0.2	-	-	0.2	-	-	-	-	-	0	-	-	-	0.4	
02050	-	-	-	-	-	0.1	-	-	-	0.3	-	-	0.4	-	-	-	-	-	-	-	-	-	0.8	
02051	-	-	0	-	-	0.1	-	-	-	0.2	-	-	0.3	-	-	-	-	-	-	-	-	-	0.6	
02052	-	-	0	-	-	0.1	-	-	-	0.3	-	-	0.2	-	-	-	-	-	-	-	-	-	0.6	
02053	-	-	0	-	-	0.1	-	-	-	0.2	-	-	0.2	-	-	-	-	-	-	-	-	-	0.5	
02013	-	-	-	-	-	0.1	-	0	-	0.2	-	-	0.1	-	-	-	-	-	-	-	-	-	0.5	
02014	-	-	-	-	-	0.1	-	0	-	0.2	-	-	0.1	-	-	-	-	-	-	-	-	-	0.4	
02063	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.3	-	-	-	-	-	0	-	-	-	0.5	
02064	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.4	-	-	-	-	-	0	-	-	-	0.5	
02065	-	-	-	-	-	Tr	-	0	-	0.2	-	-	0.4	-	-	-	-	-	Tr	-	-	-	0.7	
02017	-	-	-	-	0	Tr	-	0	0	0.1	-	-	0.3	-	-	-	-	-	0	-	-	-	0.5	
02019	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.3	-	-	-	-	-	0	-	-	-	0.4	
02018	-	-	-	-	0	Tr	-	0	0	0.1	-	-	0.4	-	-	-	-	-	0	-	-	-	0.5	
02066	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.4	-	-	-	-	-	0	-	-	-	0.5	
02067	-	-	-	-	-	Tr	-	0	-	0.2	-	-	0.4	-	-	-	-	-	0	-	-	-	0.6	
