FN	STARCH	GLUS	FRUS	GALS	SUCS	MALS	LACS	TRES	CHOAVL	SORTL	MANTL	NoticeSUG			
01001	56.4	Tr	Tr	-	1.3	0	(0)	(0)	57.8	-	-				
01002	62.2	0	-	-	1.0	0.1	(0)	(0)	63.3	0	-	うるち、もちを含む<br>歩留り： 70～80 %			
01003	(40.1)	(0)	-	-	(0.4)	(Tr)	(0)	(0)	(40.5)	-	-	原材料配合割合： もちあわ50、もち米50<br>01002あわ及び01151もち米から推計			
01004	56.3	0	Tr	-	1.0	0	(0)	(0)	57.4	-	-	別名： オート、オーツ			
01005	(64.4)	(Tr)	(0.1)	(0)	(0.3)	(0.1)	(0)	(0)	(64.9)	-	-	歩留り： 玄皮麦60～65 %、玄裸麦65～70 %<br>01006押麦から推計			
01006	65.4	Tr	0.1	Tr	0.3	0.1	0	(0)	65.8	-	-	歩留り： 玄皮麦45～55 %、玄裸麦55～65 %			
01170	22.0	0	0	-	0	0	(0)	(0)	22.0	-	-	乾35 g相当量を含む			
01007	62.1	Tr	Tr	-	0.3	0.1	(0)	(0)	62.5	-	-	別名： 切断麦<br>白麦を含む<br>歩留り： 玄皮麦40～50 %、玄裸麦50～60 %			
01008	(65.3)	(Tr)	(Tr)	(0)	(0.3)	(0.1)	(0)	(0)	(65.7)	-	-	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦及び01019中力粉2等から推計			
01009	(22.8)	(0)	(Tr)	(0)	(0.1)	(Tr)	(0)	(0)	(22.9)	-	-	原材料配合割合： 大麦粉 50、小麦粉 50<br>01006押麦及び01019中力粉2等から推計			
01010	(72.3)	(Tr)	(0.1)	(Tr)	(0.3)	(0.1)	(0)	(0)	(72.8)	-	-	別名： こうせん、はったい粉<br>01006押麦から推計			
01167	52.3	0.7	0.1	0	2.3	0	-	-	55.4	-	-				
01011	64.5	0.1	-	-	0.5	0	(0)	(0)	65.0	0.1	-	うるち、もちを含む<br>歩留り： 70～80 %			
01012	57.5	0.1	0	-	0.9	0.1	(0)	(0)	58.5	-	-				
01013	61.1	0.1	0.1	-	1.0	0.1	(0)	(0)	62.2	-	-				
01014	56.0	Tr	Tr	-	0.8	0.1	(0)	(0)	57.0	-	-				
