NB2020 [recipe] data (yossy) 2026-01-10
code	user	root	branch	public	protect	draft	favorite	name	dish	type	role	tech	time	cost	sum	protocol	date
yo-r-00f746f088550f376f59	yossy		0	1	1	0	0	分厚いクッキー	8	5	5	9	0	0	14018:85:g:85:::1.0:85<t>03005:50:g:50:::1.0:50<t>12010:17:個M:1:::1.0:17<t>01015:85:g:85:::1.0:85<t>17012:1.0:g:1:::1.0:1.0<t>16020:8.1:ml:8.5:::1.0:8.1<t>12004:1.0:g:1.0::ドレ用:1.0:1.0	#京都の学校 クッキー<n>#ガレット・ブルトンヌの亜種<n><n>ボウルにバターを入れて室温に戻し、グラニュー糖を入れて、白っぽくなるまで均一にすり混ぜる。<n>@グラニュー糖はジャリジャリしたままでよし<n>卵黄を加え、混ぜ合わせる。<n>塩とラム酒を加え、混ぜ合わせる。<n>振るっておいた薄力粉を加え、均一になるまでしっかり混ぜ合わせる。<n>生地を平たくし、ラップで包み、冷蔵庫で30分以上冷やす。<n><n>生地は打ち粉をしながら1cm厚に延ばし、4cmの丸形で抜き、クッキングシートを敷いた天板に並べる。<n>クッキンシートを直径4cmの輪っかにしてホッチキスでとめて、生地にはめる。<n>170℃に予熱したオーブンで15-20分焼く。<n>@時間は様子を見て調節。焼き色はオーブンから出した後でも少し濃くなるので薄めでok<n>ケーキクーラー（網）に乗せて冷ます。	2022-07-30
yo-r-01f1-4d79-641d-2e8c	yossy		0	1	1	0	0	鯖の味噌煮	1	1	2	1	0	0	10158:70:g:70:::1.0:70<t>+:-:g:-:0:調味液:-:-<t>17021:80:g:80.0:::0.5:40<t>17046:8.0:g:8.0:::0.5:4.0<t>16023:5.0:g:5.0:::0.5:2.5<t>03003:3.0:g:3.0:::0.5:1.5<t>-:-:g:-:0:-:-:-<t>06226:20:g:20:::1.0:20<t>06103:3.0:g:3.0:::0:0.0<t>06020:8.0:g:8:::1.0:8.0	#京都の学校<n>#<n>鯖は熱湯にくぐらせて霜降りし、冷水につけてうろこや汚れを取り、水気を切る。<n>絹さやは筋を取り、塩でもんで熱湯でサッと茹で冷水に取り、水気を切る。<n>白葱は長さ5cmに切る。1/4量を千切りにし冷水にさらし、水切りする。<n>土生姜は皮ごと薄切りにする。<n>鍋に、土生姜、合成清酒を入れ、火にかけアルコール分を飛ばす。出し汁を注ぎ、霜降りした鯖を加え、ひと煮立ちさせ、アクを掬い取る。<n>上白糖を加え、赤味噌を溶かし込み、白葱を加え落とし蓋をし、弱火で煮含める<n>@時折煮汁を鯖に回しかける。<n>盛り付け直前に絹さやを加える。<n>温めた器に、鯖を盛り付け、煮汁をかける。共地で煮た付け合わせを添えて、熱いうちに供する。	2020-08-21
yo-r-029ecc0b25f66997de02	yossy		0	1	1	0	0	カレーピラフ	2	6	1	3	0	0	P01007:400:g:400:::1.0:400<t>P11002:0.1e3:g:0.1e3:::1.0:0.1e3<t>14006:12:大さじ:1.0:0:湯通し用:0:0.0<t>-:0:0:0:0::1.0:0<t>06153:35:個M:1/6:::1.0:35<t>06214:27:g(Φ4):3:::1.0:27<t>06247:17:個（パプ）:1/8::=赤パプリカ:1.0:17<t>08031:12:個M:1:::1.0:12<t>06182:110:個S:1:::1.0:110<t>06017:12:g:12:0:10粒/人:1.0:12<t>14006:12:大さじ:1:::1.0:12<t>-:0:0:0:0::1.0:0<t>17091:5.0:小さじ:1:::1.0:5.0<t>03022:21:大さじ:1:::1.0:21<t>17012:6.0:小さじ:1:0::1.0:6.0<t>17061:4.0:小さじ:2:::1.0:4.0<t>-:0:0:0:0::1.0:0<t>06183:48:個S:6.0::適当:1.0:48<t>06239:5.0:本:1.0::適当:1.0:5.0	#男の子 フライパン バターライス<n>#<n>&ampyo-r-0e6551ddc7b55bb995bc<n>玉ねぎ、人参、パプリカ、マッシュルームは粗みじん切り。<n>トマトは1cm角に切る。<n>枝豆は鞘から出しておく。<n>バルサミコ酢とはちみつは合わせておく。<n><n>フライパンに合いびき肉と油を入れて混ぜながら、ゆっくり火を通す。<n>色が変わったらザルで油を切って、ペーパータオルに上げておく。<n><n>フライパンをきれいにし、油とみじん切りにした具材を入れ、弱火で炒める。<n>野菜に日が通ったら、ひき肉、はちみつ入りバルサミコ酢を入れて煮詰める。<n>枝豆とトマトを入れて、トマトの形がなくなるまで火を通す。<n>カレー粉を加え混ぜ合わせ、バターライスを加え、全体的に切り混ぜながら炒め合わせる。<n><n>適度に水分が飛んだら、器に盛り付け、ミニトマトとパセリを飾って仕上げる。	2025-02-15
yo-r-0357fbd2c1ae6684af4f	yossy		0	1	1	0	0	えびす南瓜旨煮	3	1	3	1	0	0	06048:162:g処理前:180.0:0:1/10個:1.0:162<t>+::::0:調味料:1.0:<t>17021:160:ml:160:::1.0:160<t>17007:18:大さじ:1:::1.0:18<t>16025:11:ml:9:::1.0:11<t>03003:27:大さじ:3:::1.0:27	#京都の学校　おせち料理　煮物警報<n>#<n>かぼちゃは等分に切り、種を取り除き、皮はうっすら緑が残るくらいに薄くむき、面取りをする。<n><n>鍋にかぼちゃを並べて、出汁、みりん、砂糖を入れて、落し蓋をして沸騰させる。<n>沸騰したら、火を弱めて5分ほど煮る。<n>醤油を加え、煮汁が少なくなるまで10分ほど煮含める。<n>@時間は気にせず、汁の状態を優先で<n><n>器に盛り付けて仕上げる。<n>#写真は煮過ぎて割れているが、柔らかいのが好きな人には良し	2023-06-09
yo-r-041a-1234-8643-f495	yossy		0	1	1	0	0	ご飯	2	0	1	1	5	1	01083:160:g:160:::1.0:160<t>P00001:240:g:240:::1.0:240	#京都の学校<n>#<n>米は研いで、米の1.5倍の水を加え、30分以上吸水させる。(時間外)<n><n>強火で加熱する。<n>沸騰して吹き始めたら直ぐに弱火-中火にする。<n>@吹かないけど、弱い沸騰状態は維持。<n>ご飯に穴が出来て泡が出る様になったら、とろ火にする。<n>水分が程よく飛んだら火を止めて10分ほど蒸らす。<n><n>米粒を潰さないようにかきさっと混ぜる。<n>器に盛り付けて仕上げる。	2020-05-05
yo-r-0632fce444957312dd72	yossy		0	1	1	0	0	焼きそば　富士宮風	2	2	1	3	0	0	01048:300:g:300.0::1玉/人:1.0:300<t>06061:200:g:200:::1.0:200<t>11118:30:g:30::=肉かす:0.5:15<t>06227:30:g:30:::1.0:30<t>14016:8.0:小さじ:2:::1.0:8.0<t>17001:72:ml:60.0:::1.0:72<t>10045:4.0:g:4::=だし粉:1.0:4.0<t>09002:1.0:g:1::適当:1.0:1.0<t>06104:15:g:15:0:適当:1.0:15<t>-:0:0:0:0::1.0:0<t>17023:200:g:200.0::熱々:1.0:200	#男の子 静岡 富士宮市 郷土料理<n>#<n>!肉かす<n>豚の脂身を2-3cm長さに切り、半透明になるまでフライパンで熱し取り出す。<n>@得られたラードは焼きそばに使っても良し<n>!だし粉<n>煮干しの頭と内臓を取り除き、ミルなどで粉末にする。<n>@鰹節や顆粒いりこ出汁でも代用できる。<n><n>キャベツは5mm程の細長い短冊に切る。<n>ねぎは小口切りにする。<n><n>フライパンにラードを入れて熱し、キャベツを中心に盛り、肉かすをのせ、熱い出汁をかけて蒸し焼きにする。<n>@追加の動物性の具材があればキャベツの前に炒める。お湯の量はキャベツから少しはみ出る程度で良い<n>キャベツがしなっとなったらフライパンの端に寄せ、空いたスペースにほぐした麺を入れ、熱い出汁をかけてる。<n>@お湯の量は麺から少しはみ出る程度で良い<n>焼きそばの上に肉かすごとキャベツをのせ、水分が飛ぶまで蒸し焼きにする。<n>焼きそばと具を大きく混ぜ合わせて広げ、ソースを複数回に分けてかけ回し麺に絡める。<n>ねぎを入れてさっと全体にかき混ぜ、水分を飛ばす。<n><n>器に盛り付け、だし粉と青のりを振り、紅生姜を添えて仕上げる。	2022-05-22
yo-r-0674-e231-e570-7865	yossy		0	0	0	0	0	キレートレモン汁*3	3	8	6	8	0	0	07156:60:g:60:::1.0:60<t>03022:4.0:g:4:::1.0:4.0<t>P03005:10:g:10:::1.0:10<t>P00012:12:g:12:::1.0:12<t>P00023:3.0:g:3:::1.0:3.0<t>P00016:3.0:g:3:::1.0:3.0<t>P00022:8.0:g:8:::1.0:8.0	#<n>#炭酸水で3倍に薄めて飲む。多分歯に悪い。<n>フラクトオリゴ糖は人肌に温めたぬるま湯に最初に混ぜ溶かす。<n>残りの材料をすべて入れて溶かす。<n>小瓶に等分して、冷凍保存する。<n><n>飲む前に、炭酸水を加え、溶けてから飲む。	2023-04-27
yo-r-06bZl0NGSZRVZ7YRr8Dp	yossy		0	1	1	0	0	きのこたっぷり豚汁	2	1	4	1	0	0	11129:80:g:80:::1.0:80<t>08016:40:g:40:::1.0:40<t>08001:40:g:40:::1.0:40<t>02010:40:g:40:::1.0:40<t>06084:30:g:30:::1.0:30<t>06214:30:g:30:::1.0:30<t>14002:12:大さじ:1:::1.0:12<t>-:-:g:-:0:-:-:-<t>P00001:600:カップ:3:::1.0:600<t>17028:4.0:小さじ:1.0:::1.0:4.0<t>17045:17:大さじ:1:::1.0:17<t>-:-:g:-:0:-:-:-<t>06226:10:g:10:::1.0:10<t>05018:2.0:g:2:::1.0:2.0	#群馬のお教室<n>#<n>ごぼうは皮をとり、斜め薄切りにし、水に放しておく。<n>里芋、人参は皮をむき、大きさに合わせて半月または銀杏切りにする。<n>ねぎは小口切りにする。<n>きのこは石突きを切り落とし、ほぐしておく。<n>豚肉は食べやすい大きさに切る。<n><n>鍋にごま油を入れて熱し、豚肉を炒める。<n>ごぼう、里芋、人参を加え更に炒める。<n>だし汁を加え、灰汁を取りながら人参、里芋に火が通るまで煮る。<n>きのこと味噌を溶き入れ、ひと煮立ちしたら火を止める。<n><n>器に盛り入れ、ねぎとごまを散らして仕上げる。	2019-03-08
yo-r-06qTuxNUKIGHU5ZGleWU	yossy		0	1	1	0	0	スパゲティ　ミートソース	1	4	1	0	4	4	01064:80:g:80.0::乾麺No9:1.0:200<t>11089:40:g:40.0::牛挽き肉:1.0:40<t>01015:5.0:g:5.0:::1.0:5.0<t>14001:2.5:g:2.5:0::1:2.5<t>06223:1.0:g:1.0:::1.0:1.0<t>06153:50.0:g:50.0:::1.0:50.0<t>06245:15.0:g:15.0:::1.0:15.0<t>17034:100.0:g:100.0:::1.0:100.0<t>17026:80:g:80.0::ブイヨン:1.0:80<t>14001:2.5:g:2.5:::1.0:2.5<t>17036:8.0:g:8.0:::1.0:8.0<t>17012:0.1:g:0.1:::1.0:0.1<t>17064:0.01:g:0.01:::1.0:0.01<t>-:-:g:-:0:-:-:-<t>06239:0.3:g:0.3:::1.0:0.3<t>13038:2.0:g:2.0:::1.0:2.0<t>+:-:g:-:0:分量外材料:-:-<t>17012:30:g:30:0::0:0.0<t>P00001:3000:g:3000.0:::0:0.0	#京都の学校<n>#<n>玉ねぎとピーマンはみじん切りにする。<n>ニンニクは皮と芽を取り除いてみじん切りにする。<n>パセリはみじん切りにする。<n><n>鍋にオリーブオイルとニンニクを入れて弱火で加熱し、ニンニクの香りを出す。<n>玉ねぎを加え透き通るまで炒め、ピーマンを加えて焦がさないように炒める。<n>プライパンにオリーブオイルを入れ加熱し牛挽き肉を加え炒める。<n>挽き肉に火が通ったら薄力粉を加え、更に炒める。<n>野菜の鍋に牛挽き肉を加え混ぜ合わせ、トマトピューレとトマトケチャップとブイヨンを加える。<n>鍋底が焦げないように時折混ぜながら弱火で煮込む。<n>塩と胡椒で味を調える。<n><n>分量外のたっぷりの水に１％の食塩を加え、沸騰状態でパスタを茹で上げる。<n>@茹で時間はパスタの袋の通りに。<n><n>皿にパスタを盛り付け、ミートソースをかけ、パセリとパルメザンチーズをふり仕上げる。	2018-03-11
yo-r-072d-af58-d62f-37b7	yossy		0	1	1	0	0	吸油量-天ぷら:さつまいも (12%)	1	0	100	0	0	0	14006:12:g:12.0::吸油量:1.0:12<t>01015:12:g:11.9::衣:1.0:12<t>12004:7.2:g:7.2::衣:1.0:7.2	参考<n>女子栄養大学出版部<n>調理のためのベーシックデータ　第４版	2022-03-13
