name	sex	period_class	reriods	reriode	EAR	RDA	AI	UL	unit	DG_min	DG_max	DG_unit
PROTV	0	m	0	5			10		g/day			
PROTV	0	m	6	8			15		g/day			
PROTV	0	m	9	11			25		g/day			
PROTV	0	y	1	2	15	20			g/day	13	20	%E
PROTV	0	y	3	5	20	25			g/day	13	20	%E
PROTV	0	y	6	7	25	30			g/day	13	20	%E
PROTV	0	y	8	9	30	40			g/day	13	20	%E
PROTV	0	y	10	11	40	45			g/day	13	20	%E
PROTV	0	y	12	14	50	60			g/day	13	20	%E
PROTV	0	y	15	17	50	65			g/day	13	20	%E
PROTV	0	y	18	29	50	65			g/day	13	20	%E
PROTV	0	y	30	49	50	65			g/day	13	20	%E
PROTV	0	y	50	64	50	65			g/day	14	20	%E
PROTV	0	y	65	74	50	60			g/day	15	20	%E
PROTV	0	y	75	999	50	60			g/day	15	20	%E
PROTV	1	m	0	5			10		g/day			
PROTV	1	m	6	8			15		g/day			
PROTV	1	m	9	11			25		g/day			
PROTV	1	y	1	2	15	20			g/day	13	20	%E
PROTV	1	y	3	5	20	25			g/day	13	20	%E
PROTV	1	y	6	7	25	30			g/day	13	20	%E
PROTV	1	y	8	9	30	40			g/day	13	20	%E
PROTV	1	y	10	11	40	50			g/day	13	20	%E
PROTV	1	y	12	14	45	55			g/day	13	20	%E
PROTV	1	y	15	17	45	55			g/day	13	20	%E
PROTV	1	y	18	29	40	50			g/day	13	20	%E
PROTV	1	y	30	49	40	50			g/day	13	20	%E
PROTV	1	y	50	64	40	50			g/day	14	20	%E
PROTV	1	y	65	74	40	50			g/day	15	20	%E
PROTV	1	y	75	999	40	50			g/day	15	20	%E
PROTV	1	p	0	15					g/day	13	20	%E
PROTV	1	p	16	27	+5	+5			g/day	13	20	%E
PROTV	1	p	28	99	+25	+25			g/day	13	20	%E
PROTV	1	l			+15	+20			g/day	15	20	%E
FATV	0	m	0	5			50		g/day			
FATV	0	m	6	11			40		g/day			
FATV	0	y	1	2					g/day	20	30	%E
FATV	0	y	3	5					g/day	20	30	%E
FATV	0	y	6	7					g/day	20	30	%E
FATV	0	y	8	9					g/day	20	30	%E
FATV	0	y	10	11					g/day	20	30	%E
FATV	0	y	12	14					g/day	20	30	%E
FATV	0	y	15	17					g/day	20	30	%E
FATV	0	y	18	29					g/day	20	30	%E
FATV	0	y	30	49					g/day	20	30	%E
FATV	0	y	50	64					g/day	20	30	%E
FATV	0	y	65	74					g/day	20	30	%E
FATV	0	y	75	999					g/day	20	30	%E
FATV	1	m	0	5			50		g/day			
FATV	1	m	6	11			40		g/day			
FATV	1	y	1	2					g/day	20	30	%E
FATV	1	y	3	5					g/day	20	30	%E
FATV	1	y	6	7					g/day	20	30	%E
FATV	1	y	8	9					g/day	20	30	%E
FATV	1	y	10	11					g/day	20	30	%E
FATV	1	y	12	14					g/day	20	30	%E
FATV	1	y	15	17					g/day	20	30	%E
FATV	1	y	18	29					g/day	20	30	%E
FATV	1	y	30	49					g/day	20	30	%E
FATV	1	y	50	64					g/day	20	30	%E
FATV	1	y	65	74					g/day	20	30	%E
FATV	1	y	75	999					g/day	20	30	%E
FATV	1	p	0	15					g/day	20	30	%E
FATV	1	p	16	27					g/day	20	30	%E
FATV	1	p	28	99					g/day	20	30	%E
FATV	1	l							g/day	20	30	%E
FASAT	0	m	0	5					g/day			
FASAT	0	m	6	11					g/day			
FASAT	0	y	1	2					g/day			
FASAT	0	y	3	5					g/day		10	%E
FASAT	0	y	6	7					g/day		10	%E
FASAT	0	y	8	9					g/day		10	%E
FASAT	0	y	10	11					g/day		10	%E
FASAT	0	y	12	14					g/day		10	%E
FASAT	0	y	15	17					g/day		8	%E
FASAT	0	y	18	29					g/day		7	%E
FASAT	0	y	30	49					g/day		7	%E
FASAT	0	y	50	64					g/day		7	%E
FASAT	0	y	65	74					g/day		7	%E
FASAT	0	y	75	999					g/day		7	%E
FASAT	1	m	0	5					g/day			
FASAT	1	m	6	11					g/day			
FASAT	1	y	1	2					g/day			
FASAT	1	y	3	5					g/day		10	%E
FASAT	1	y	6	7					g/day		10	%E
FASAT	1	y	8	9					g/day		10	%E
FASAT	1	y	10	11					g/day		10	%E
FASAT	1	y	12	14					g/day		10	%E
FASAT	1	y	15	17					g/day		8	%E
FASAT	1	y	18	29					g/day		7	%E
FASAT	1	y	30	49					g/day		7	%E
FASAT	1	y	50	64					g/day		7	%E
FASAT	1	y	65	74					g/day		7	%E
FASAT	1	y	75	999					g/day		7	%E
FASAT	1	p	0	15					g/day		7	%E
FASAT	1	p	16	27					g/day		7	%E
FASAT	1	p	28	99					g/day		7	%E
FASAT	1	l							g/day		7	%E
FAPUN6	0	m	0	5			4		g/day			
FAPUN6	0	m	6	11			4		g/day			
FAPUN6	0	y	1	2			4		g/day			
FAPUN6	0	y	3	5			6		g/day			
FAPUN6	0	y	6	7			8		g/day			
FAPUN6	0	y	8	9			8		g/day			
FAPUN6	0	y	10	11			10		g/day			
FAPUN6	0	y	12	14			11		g/day			
FAPUN6	0	y	15	17			13		g/day			
FAPUN6	0	y	18	29			11		g/day			
FAPUN6	0	y	30	49			10		g/day			
FAPUN6	0	y	50	64			10		g/day			
FAPUN6	0	y	65	74			9		g/day			
FAPUN6	0	y	75	999			8		g/day			
FAPUN6	1	m	0	5			4		g/day			
FAPUN6	1	m	6	11			4		g/day			
FAPUN6	1	y	1	2			4		g/day			
FAPUN6	1	y	3	5			6		g/day			
FAPUN6	1	y	6	7			7		g/day			
FAPUN6	1	y	8	9			7		g/day			
FAPUN6	1	y	10	11			8		g/day			
FAPUN6	1	y	12	14			9		g/day			
FAPUN6	1	y	15	17			9		g/day			
FAPUN6	1	y	18	29			8		g/day			
FAPUN6	1	y	30	49			8		g/day			
FAPUN6	1	y	50	64			8		g/day			
FAPUN6	1	y	65	74			8		g/day			
FAPUN6	1	y	75	999			7		g/day			
FAPUN6	1	p	0	15			9		g/day			
FAPUN6	1	p	16	27			9		g/day			
FAPUN6	1	p	28	99			9		g/day			
FAPUN6	1	l					10		g/day			
FAPUN3	0	m	0	5			0.9		g/day			
FAPUN3	0	m	6	11			0.8		g/day			
FAPUN3	0	y	1	2			0.7		g/day			
FAPUN3	0	y	3	5			1.1		g/day			
FAPUN3	0	y	6	7			1.5		g/day			
FAPUN3	0	y	8	9			1.5		g/day			
FAPUN3	0	y	10	11			1.6		g/day			
FAPUN3	0	y	12	14			1.9		g/day			
FAPUN3	0	y	15	17			2.1		g/day			
FAPUN3	0	y	18	29			2.0		g/day			
FAPUN3	0	y	30	49			2.0		g/day			
FAPUN3	0	y	50	64			2.2		g/day			
FAPUN3	0	y	65	74			2.2		g/day			
FAPUN3	0	y	75	999			2.1		g/day			
FAPUN3	1	m	0	5			0.9		g/day			
FAPUN3	1	m	6	11			0.8		g/day			
FAPUN3	1	y	1	2			0.8		g/day			
FAPUN3	1	y	3	5			1.0		g/day			
FAPUN3	1	y	6	7			1.3		g/day			
FAPUN3	1	y	8	9			1.3		g/day			
FAPUN3	1	y	10	11			1.6		g/day			
FAPUN3	1	y	12	14			1.6		g/day			
FAPUN3	1	y	15	17			1.6		g/day			
FAPUN3	1	y	18	29			1.6		g/day			
FAPUN3	1	y	30	49			1.6		g/day			
FAPUN3	1	y	50	64			1.9		g/day			
FAPUN3	1	y	65	74			2.0		g/day			
FAPUN3	1	y	75	999			1.8		g/day			
FAPUN3	1	p	0	15			1.6		g/day			
FAPUN3	1	p	16	27			1.6		g/day			
FAPUN3	1	p	28	99			1.6		g/day			
FAPUN3	1	l					1.8		g/day			
CHOV	0	m	0	5					g/day			
CHOV	0	m	6	11					g/day			
CHOV	0	y	1	2					g/day	50	65	%E
CHOV	0	y	3	5					g/day	50	65	%E
CHOV	0	y	6	7					g/day	50	65	%E
CHOV	0	y	8	9					g/day	50	65	%E
CHOV	0	y	10	11					g/day	50	65	%E
CHOV	0	y	12	14					g/day	50	65	%E
CHOV	0	y	15	17					g/day	50	65	%E
CHOV	0	y	18	29					g/day	50	65	%E
CHOV	0	y	30	49					g/day	50	65	%E
CHOV	0	y	50	64					g/day	50	65	%E
CHOV	0	y	65	74					g/day	50	65	%E
CHOV	0	y	75	999					g/day	50	65	%E
CHOV	1	m	0	5					g/day			
CHOV	1	m	6	11					g/day			
CHOV	1	y	1	2					g/day	50	65	%E
CHOV	1	y	3	5					g/day	50	65	%E
CHOV	1	y	6	7					g/day	50	65	%E
CHOV	1	y	8	9					g/day	50	65	%E
CHOV	1	y	10	11					g/day	50	65	%E
CHOV	1	y	12	14					g/day	50	65	%E
CHOV	1	y	15	17					g/day	50	65	%E
CHOV	1	y	18	29					g/day	50	65	%E
CHOV	1	y	30	49					g/day	50	65	%E
CHOV	1	y	50	64					g/day	50	65	%E
CHOV	1	y	65	74					g/day	50	65	%E
CHOV	1	y	75	999					g/day	50	65	%E
CHOV	1	p	0	15					g/day	50	65	%E
CHOV	1	p	16	27					g/day	50	65	%E
CHOV	1	p	28	99					g/day	50	65	%E
CHOV	1	l							g/day	50	65	%E
FIB	0	m	0	5					g/day			
FIB	0	m	6	11					g/day			
FIB	0	y	1	2					g/day			
FIB	0	y	3	5					g/day	8		g/day
FIB	0	y	6	7					g/day	10		g/day
FIB	0	y	8	9					g/day	11		g/day
FIB	0	y	10	11					g/day	13		g/day
FIB	0	y	12	14					g/day	17		g/day
FIB	0	y	15	17					g/day	19		g/day
FIB	0	y	18	29					g/day	21		g/day
FIB	0	y	30	49					g/day	21		g/day
FIB	0	y	50	64					g/day	21		g/day
FIB	0	y	65	74					g/day	20		g/day
FIB	0	y	75	999					g/day	20		g/day
FIB	1	m	0	5					g/day			
FIB	1	m	6	11					g/day			
FIB	1	y	1	2					g/day			
FIB	1	y	3	5					g/day	8		g/day
FIB	1	y	6	7					g/day	10		g/day
FIB	1	y	8	9					g/day	11		g/day
